X1	X2	NSH	SHX1	SHX2	SH	Type
DH15	HB10	13861	0.9514	0.9657	0.9514	Non-TR
DH15	HB12	13766	0.9485	0.9679	0.9485	Non-TR
DH15	HB16	13917	0.9526	0.9649	0.9526	Non-TR
DH15	HB19	14047	0.9542	0.9662	0.9542	Non-TR
DH15	HB1	13919	0.9689	0.9805	0.9689	Non-TR
DH15	HB20	14054	0.97	0.9788	0.97	Non-TR
DH15	HB23	13775	0.9475	0.9673	0.9475	Non-TR
DH15	HB24	13803	0.9483	0.9672	0.9483	Non-TR
DH15	HB27	14196	0.954	0.9651	0.954	Non-TR
DH15	HB28	14432	0.9706	0.9778	0.9706	Non-TR
DH15	HB2	13904	0.9706	0.9791	0.9706	Non-TR
DH15	HB30	13900	0.9513	0.9664	0.9513	Non-TR
DH15	HB4	13748	0.9702	0.9792	0.9702	Non-TR
DH15	HB5	14077	0.9519	0.9663	0.9519	Non-TR
DH15	MB10	14253	0.9529	0.978	0.9529	Non-TR
DH15	MB11	13707	0.9509	0.977	0.9509	Non-TR
DH15	MB16	13909	0.9502	0.973	0.9502	Non-TR
DH15	MB17	14270	0.9561	0.9784	0.9561	Non-TR
DH15	MB18	14093	0.9508	0.9783	0.9508	Non-TR
DH15	MB1	13958	0.9458	0.9793	0.9458	Non-TR
DH15	MB21	13882	0.9526	0.9753	0.9526	Non-TR
DH15	MB23	14277	0.9565	0.9766	0.9565	Non-TR
DH15	MB26	14008	0.9538	0.9785	0.9538	Non-TR
DH15	MB3	14343	0.9572	0.9747	0.9572	Non-TR
DH15	MB5	13719	0.9515	0.9781	0.9515	Non-TR
DH15	MB9	14013	0.9469	0.9795	0.9469	Non-TR
DH15	MM10	13561	0.9444	0.9712	0.9444	Non-TR
DH15	MM12	13863	0.9478	0.9684	0.9478	Non-TR
DH15	MM13	13702	0.9479	0.9707	0.9479	Non-TR
DH15	MM15a	13608	0.9421	0.9714	0.9421	Non-TR
DH15	MM15b	13303	0.9502	0.9723	0.9502	Non-TR
DH15	MM1	13634	0.9489	0.9703	0.9489	Non-TR
DH15	MM20	14028	0.948	0.9715	0.948	Non-TR
DH15	MM25	13794	0.9465	0.9735	0.9465	Non-TR
DH15	MM29	13933	0.9511	0.9716	0.9511	Non-TR
DH15	MM2	13906	0.9501	0.9676	0.9501	Non-TR
DH15	MM30	13547	0.9493	0.9697	0.9493	Non-TR
DH15	MM6	13629	0.9456	0.9708	0.9456	Non-TR
DH15	MM7	13507	0.943	0.9724	0.943	Non-TR
DH15	MM8	13533	0.9474	0.973	0.9474	Non-TR
DH15	NB11	14008	0.953	0.9783	0.953	Non-TR
DH15	NB12	13840	0.9494	0.9767	0.9494	Non-TR
DH15	NB13	13987	0.9596	0.9579	0.9579	Non-TR
DH15	NB15	13787	0.9553	0.9741	0.9553	Non-TR
DH15	NB17	13585	0.9519	0.979	0.9519	Non-TR
DH15	NB19	14160	0.9632	0.9574	0.9574	Non-TR
DH15	NB1	13704	0.9469	0.9557	0.9469	Non-TR
DH15	NB27a	13980	0.9506	0.9771	0.9506	Non-TR
DH15	NB27b	14012	0.9507	0.9776	0.9507	Non-TR
DH15	NB28	14140	0.9518	0.9781	0.9518	Non-TR
DH15	NB2	14215	0.9592	0.9579	0.9579	Non-TR
DH15	NB5	13925	0.9562	0.9582	0.9562	Non-TR
DH15	NB6	14200	0.9587	0.957	0.957	Non-TR
DH15	NB8	14155	0.9525	0.9782	0.9525	Non-TR
DH15	NB9	13483	0.951	0.9748	0.951	Non-TR
DH15	WH11	14271	0.9608	0.9559	0.9559	Non-TR
DH15	WH13	14392	0.9633	0.9553	0.9553	Non-TR
DH15	WH15	14168	0.964	0.9564	0.9564	Non-TR
DH15	WH1	14253	0.9602	0.9553	0.9553	Non-TR
DH15	WH20	14301	0.9638	0.9556	0.9556	Non-TR
DH15	WH22	14176	0.9639	0.9556	0.9556	Non-TR
DH15	WH25	14091	0.9614	0.9573	0.9573	Non-TR
DH15	WH28	14210	0.9614	0.9567	0.9567	Non-TR
DH15	WH29	10130	0.9563	0.9581	0.9563	Non-TR
DH15	WH3a	14117	0.9634	0.9569	0.9569	Non-TR
DH15	WH3b	13759	0.9591	0.9575	0.9575	Non-TR
DH15	WH5	14392	0.9628	0.9567	0.9567	Non-TR
DH15	WH6	14293	0.9617	0.9561	0.9561	Non-TR
DH15	WH9	14412	0.9633	0.9579	0.9579	Non-TR
DH16	DH18	12615	0.98	0.9729	0.9729	Non-TR
DH16	DH21	12258	0.9785	0.9753	0.9753	Non-TR
DH16	DH23	12741	0.98	0.9723	0.9723	Non-TR
DH16	DH25	12778	0.9815	0.973	0.973	Non-TR
DH16	DH27	12495	0.9778	0.9741	0.9741	Non-TR
DH16	DH29	12674	0.9811	0.9753	0.9753	Non-TR
DH16	DH2	12572	0.9753	0.9745	0.9745	Non-TR
DH16	DH30	12225	0.9741	0.9764	0.9741	Non-TR
DH16	DH4	12293	0.9755	0.9722	0.9722	Non-TR
DH16	DH6	12506	0.9776	0.9766	0.9766	Non-TR
DH16	DH8	11609	0.9757	0.9746	0.9746	Non-TR
DH16	DP13	12255	0.9538	0.9606	0.9538	Non-TR
DH16	DP17	12423	0.9545	0.959	0.9545	Non-TR
DH16	DP1	12221	0.9531	0.9592	0.9531	Non-TR
DH16	DP22	12351	0.9516	0.9577	0.9516	Non-TR
DH16	DP23	11673	0.9402	0.9582	0.9402	Non-TR
DH16	DP25	12170	0.9523	0.9576	0.9523	Non-TR
DH16	DP26	12464	0.9569	0.9569	0.9569	Non-TR
DH16	DP28	11969	0.9539	0.9572	0.9539	Non-TR
DH16	DP2	12280	0.9519	0.9574	0.9519	Non-TR
DH16	DP4	12152	0.9556	0.9599	0.9556	Non-TR
DH16	DP6	12325	0.9539	0.958	0.9539	Non-TR
DH16	DP8	12469	0.9553	0.9569	0.9553	Non-TR
DH16	FC10	12318	0.947	0.9681	0.947	Non-TR
DH16	FC12	11900	0.9412	0.9672	0.9412	Non-TR
DH16	FC13	11858	0.9421	0.9661	0.9421	Non-TR
DH16	FC14	12121	0.9433	0.9678	0.9433	Non-TR
DH16	FC19	10133	0.9313	0.9683	0.9313	Non-TR
DH16	FC23	11923	0.9443	0.9643	0.9443	Non-TR
DH16	FC24	12040	0.9464	0.9657	0.9464	Non-TR
DH16	FC27	12275	0.9487	0.9662	0.9487	Non-TR
DH16	FC28	11722	0.9362	0.9672	0.9362	Non-TR
DH16	FC30a	12230	0.9549	0.9669	0.9549	Non-TR
DH16	FC30b	12191	0.9556	0.9687	0.9556	Non-TR
DH16	FC5	12020	0.9447	0.9657	0.9447	Non-TR
DH16	FC7	12134	0.9455	0.967	0.9455	Non-TR
DH16	FI11	11679	0.9531	0.9719	0.9531	Non-TR
DH16	FI16	12195	0.9549	0.9721	0.9549	Non-TR
DH16	FI1	12292	0.9566	0.9722	0.9566	Non-TR
DH16	FI21	11993	0.9562	0.9732	0.9562	Non-TR
DH16	FI22	12452	0.9559	0.9716	0.9559	Non-TR
DH16	FI25	12411	0.9562	0.9722	0.9562	Non-TR
DH16	FI26	12300	0.9527	0.9719	0.9527	Non-TR
DH16	FI29	12524	0.956	0.9709	0.956	Non-TR
DH16	FI5	12297	0.9544	0.9722	0.9544	Non-TR
DH16	FI7	12254	0.9566	0.971	0.9566	Non-TR
DH16	FI8	12283	0.9569	0.9704	0.9569	Non-TR
DH16	FI9	12316	0.9535	0.971	0.9535	Non-TR
DH16	GU10	4039	0.3207	0.9428	0.3207	Non-TR
DH16	GU12	2122	0.1679	0.9414	0.1679	Non-TR
DH16	GU13	3154	0.2493	0.9483	0.2493	Non-TR
DH16	GU17	2637	0.2069	0.9558	0.2069	Non-TR
DH16	GU19	1941	0.1553	0.9363	0.1553	Non-TR
DH16	GU21	2252	0.1867	0.9542	0.1867	Non-TR
DH16	GU23	1297	0.1021	0.9244	0.1021	Non-TR
DH16	GU25	3570	0.2827	0.9437	0.2827	Non-TR
DH16	GU26	3785	0.3254	0.9439	0.3254	Non-TR
DH16	GU28	3924	0.3215	0.9453	0.3215	Non-TR
DH16	GU30	4034	0.3148	0.9425	0.3148	Non-TR
DH16	GU5	4034	0.3163	0.943	0.3163	Non-TR
DH16	GU7	3947	0.3218	0.9438	0.3218	Non-TR
DH16	HB10	12160	0.9523	0.958	0.9523	Non-TR
DH16	HB12	12141	0.9497	0.9608	0.9497	Non-TR
DH16	HB16	12186	0.9526	0.9567	0.9526	Non-TR
DH16	HB19	12326	0.9545	0.9588	0.9545	Non-TR
DH16	HB1	12432	0.9702	0.9757	0.9702	Non-TR
DH16	HB20	12378	0.9707	0.9734	0.9707	Non-TR
DH16	HB23	12118	0.9483	0.9599	0.9483	Non-TR
DH16	HB24	12055	0.9484	0.9598	0.9484	Non-TR
DH16	HB27	12439	0.9547	0.9588	0.9547	Non-TR
DH16	HB28	12641	0.9708	0.9708	0.9708	Non-TR
DH16	HB2	12152	0.9703	0.9711	0.9703	Non-TR
DH16	HB30	12162	0.9508	0.9573	0.9508	Non-TR
DH16	HB4	12118	0.968	0.9711	0.968	Non-TR
DH16	HB5	12332	0.9526	0.9586	0.9526	Non-TR
DH16	MB10	12436	0.9521	0.9699	0.9521	Non-TR
DH16	MB11	12280	0.9538	0.972	0.9538	Non-TR
DH16	MB16	12250	0.9509	0.9666	0.9509	Non-TR
DH16	MB17	12464	0.9551	0.9709	0.9551	Non-TR
DH16	MB18	12348	0.9509	0.9722	0.9509	Non-TR
DH16	MB1	12192	0.9449	0.9716	0.9449	Non-TR
DH16	MB21	12265	0.953	0.9704	0.953	Non-TR
DH16	MB23	12460	0.9556	0.9681	0.9556	Non-TR
DH16	MB26	12269	0.953	0.9697	0.953	Non-TR
DH16	MB3	12535	0.9565	0.9674	0.9565	Non-TR
DH16	MB5	11959	0.9491	0.9701	0.9491	Non-TR
DH16	MB9	12307	0.9483	0.9716	0.9483	Non-TR
DH16	MM10	11949	0.9447	0.9642	0.9447	Non-TR
DH16	MM12	12181	0.9483	0.9614	0.9483	Non-TR
DH16	MM13	11953	0.9463	0.9626	0.9463	Non-TR
DH16	MM15a	12013	0.9433	0.9654	0.9433	Non-TR
DH16	MM15b	11657	0.9488	0.9645	0.9488	Non-TR
DH16	MM1	12152	0.9523	0.9653	0.9523	Non-TR
DH16	MM20	12289	0.9491	0.9645	0.9491	Non-TR
DH16	MM25	12084	0.9459	0.9651	0.9459	Non-TR
DH16	MM29	12183	0.9501	0.964	0.9501	Non-TR
DH16	MM2	12177	0.9502	0.9593	0.9502	Non-TR
DH16	MM30	12099	0.9508	0.9644	0.9508	Non-TR
DH16	MM6	12172	0.9486	0.9663	0.9486	Non-TR
DH16	MM7	12087	0.9453	0.968	0.9453	Non-TR
DH16	MM8	11842	0.9465	0.9638	0.9465	Non-TR
DH16	NB11	12225	0.9516	0.9699	0.9516	Non-TR
DH16	NB12	12121	0.9483	0.9689	0.9483	Non-TR
DH16	NB13	12218	0.9596	0.9487	0.9487	Non-TR
DH16	NB15	12098	0.955	0.9664	0.955	Non-TR
DH16	NB17	11875	0.9516	0.9714	0.9516	Non-TR
DH16	NB19	12512	0.9642	0.951	0.951	Non-TR
DH16	NB1	12010	0.9491	0.9494	0.9491	Non-TR
DH16	NB27a	12306	0.9511	0.9709	0.9511	Non-TR
DH16	NB27b	12245	0.9492	0.9706	0.9492	Non-TR
DH16	NB28	12382	0.9518	0.971	0.9518	Non-TR
DH16	NB2	12424	0.959	0.9498	0.9498	Non-TR
DH16	NB5	12256	0.9565	0.9513	0.9513	Non-TR
DH16	NB6	12438	0.9591	0.9489	0.9489	Non-TR
DH16	NB8	12390	0.9521	0.9708	0.9521	Non-TR
DH16	NB9	11832	0.9518	0.9675	0.9518	Non-TR
DH16	WH11	12522	0.9614	0.9496	0.9496	Non-TR
DH16	WH13	12545	0.9629	0.9476	0.9476	Non-TR
DH16	WH15	12378	0.9635	0.947	0.947	Non-TR
DH16	WH1	12462	0.9604	0.9478	0.9478	Non-TR
DH16	WH20	12496	0.9628	0.9478	0.9478	Non-TR
DH16	WH22	12365	0.9625	0.9461	0.9461	Non-TR
DH16	WH25	12344	0.9607	0.9488	0.9488	Non-TR
DH16	WH28	12393	0.9598	0.9473	0.9473	Non-TR
DH16	WH29	9201	0.9565	0.9528	0.9528	Non-TR
DH16	WH3a	12443	0.9639	0.9497	0.9497	Non-TR
DH16	WH3b	12282	0.961	0.9507	0.9507	Non-TR
DH16	WH5	12579	0.9619	0.9489	0.9489	Non-TR
DH16	WH6	12483	0.9607	0.9474	0.9474	Non-TR
DH16	WH9	12572	0.9631	0.9493	0.9493	Non-TR
DH18	DH21	13855	0.977	0.9816	0.977	Non-TR
DH18	DH23	14791	0.9812	0.9808	0.9808	Non-TR
DH18	DH25	14840	0.9815	0.9815	0.9815	Non-TR
DH18	DH27	14393	0.979	0.9823	0.979	Non-TR
DH18	DH29	14658	0.9814	0.9813	0.9813	Non-TR
DH18	DH2	14566	0.9753	0.9822	0.9753	Non-TR
DH18	DH30	13938	0.9732	0.9824	0.9732	Non-TR
DH18	DH4	14304	0.9777	0.9817	0.9777	Non-TR
DH18	DH6	14459	0.9771	0.9821	0.9771	Non-TR
DH18	DH8	12895	0.975	0.9817	0.975	Non-TR
DH18	DP13	14117	0.9529	0.9682	0.9529	Non-TR
DH18	DP17	14418	0.9549	0.9676	0.9549	Non-TR
DH18	DP1	14071	0.9518	0.9661	0.9518	Non-TR
DH18	DP22	14353	0.9533	0.9667	0.9533	Non-TR
DH18	DP23	13552	0.9417	0.9674	0.9417	Non-TR
DH18	DP25	14156	0.9528	0.9675	0.9528	Non-TR
DH18	DP26	14467	0.9569	0.9661	0.9569	Non-TR
DH18	DP28	13875	0.9552	0.9656	0.9552	Non-TR
DH18	DP2	14290	0.9534	0.9661	0.9534	Non-TR
DH18	DP4	13857	0.9547	0.9668	0.9547	Non-TR
DH18	DP6	14354	0.9561	0.9671	0.9561	Non-TR
DH18	DP8	14492	0.9564	0.9666	0.9564	Non-TR
DH18	FC10	14270	0.9468	0.9758	0.9468	Non-TR
DH18	FC12	13795	0.9416	0.9752	0.9416	Non-TR
DH18	FC13	13767	0.9436	0.9746	0.9436	Non-TR
DH18	FC14	14088	0.9439	0.9754	0.9439	Non-TR
DH18	FC19	11409	0.9309	0.9745	0.9309	Non-TR
DH18	FC23	13852	0.9453	0.9743	0.9453	Non-TR
DH18	FC24	13915	0.9478	0.9741	0.9478	Non-TR
DH18	FC27	14141	0.9479	0.9744	0.9479	Non-TR
DH18	FC28	13494	0.934	0.9746	0.934	Non-TR
DH18	FC30a	14178	0.9564	0.977	0.9564	Non-TR
DH18	FC30b	14021	0.9557	0.9773	0.9557	Non-TR
DH18	FC5	13901	0.9429	0.9746	0.9429	Non-TR
DH18	FC7	13947	0.945	0.9736	0.945	Non-TR
DH18	FI11	13478	0.9528	0.9804	0.9528	Non-TR
DH18	FI16	14035	0.955	0.9796	0.955	Non-TR
DH18	FI1	14122	0.9554	0.9798	0.9554	Non-TR
DH18	FI21	13517	0.9549	0.9787	0.9549	Non-TR
DH18	FI22	14400	0.9557	0.9798	0.9557	Non-TR
DH18	FI25	14359	0.9559	0.9792	0.9559	Non-TR
DH18	FI26	14171	0.9539	0.9802	0.9539	Non-TR
DH18	FI29	14555	0.9573	0.9794	0.9573	Non-TR
DH18	FI5	14254	0.9547	0.9795	0.9547	Non-TR
DH18	FI7	14213	0.9577	0.9793	0.9577	Non-TR
